"November 30 - December 30, 2024"
channel,title,url,view_count,like_count,duration
Ankur Warikoo,How to INVEST in MUTUAL FUNDS in 2025 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=rcA2PycBQr4,872732,22265,PT27M14S
Andrei Jikh,"Ripple Explained: What You Need to Know About XRP, RLUSD, and Ripple’s $25M Power Play",https://www.youtube.com/watch?v=ma1tXWLkFQ4,794280,27089,PT17M9S
Nischa,5 Things I Did To Stop Wasting My Evenings After Work,https://www.youtube.com/watch?v=g3S3Et69ni4,741923,22569,PT9M23S
Mark Tilbury,Passive Income: How I Started Dropshipping From Scratch (STEP BY STEP),https://www.youtube.com/watch?v=xfOT2elC2Ok,514709,15445,PT19M37S
Ankur Warikoo,"2025 Success RESOLUTIONS: Money, Career, Health and Relationships! | Ankur Warikoo Hindi",https://www.youtube.com/watch?v=KxduWfMHV38,410975,14789,PT31M44S
Nischa,Never do this with your money! #moneytips #financetips #shorts,https://www.youtube.com/watch?v=_EazHEH1Ir0,322399,8934,PT1M1S
Ankur Warikoo,"WAKE-UP CALL Before 2025! | ""Agla Saal Alag Hoga"" NAHI HOGA! | Ankur Warikoo Hindi",https://www.youtube.com/watch?v=quVDoF7F-KY,284641,15465,PT21M5S
Andrei Jikh,You’re Now A Bitcoin Investor — Thanks To This MAJOR Change,https://www.youtube.com/watch?v=5IC6-OS6Nv0,243713,9733,PT14M13S
Andrei Jikh,Google’s Willow vs Bitcoin: Are Your Coins Safe?,https://www.youtube.com/watch?v=olJ7eI_Co7w,243392,10815,PT17M46S
Ankur Warikoo,Money is NOT the ONLY UNFAIR CURRENCY! | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=jw7rmppxyKI,223831,9940,PT15M26S
Mark Tilbury,How to Invest for Beginners in 2025,https://www.youtube.com/watch?v=Ay4fmZdZqJE,222743,8081,PT21M25S
Ankur Warikoo,Managing INVESTMENTS and a LOAN | Money Matters Ep. 40 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=F2SUM1-WbaQ,213496,3610,PT38M29S
Ankur Warikoo,Investment PLAN for New PARENTS | Money Matters Ep. 39 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=iWuvcGmHEpU,188248,4493,PT27M40S
Ankur Warikoo,RESTART..... in 2025 | Ankur Warikoo Hindi,https://www.youtube.com/watch?v=phM8-IvDdzs,164722,3227,PT33M33S
Ankur Warikoo,"5-Year PLAN for House, Marriage and Travel! | Money Matters Ep. 42 | Ankur Warikoo Hindi",https://www.youtube.com/watch?v=jF3XAIigx_Q,160697,3250,PT39M41S
Erin Talks Money,Major Social Security Reform—WEP and GPO Eliminated! How Are You Affected?,https://www.youtube.com/watch?v=5gnY04SPCMQ,127447,3940,PT13M21S
Legacy Investing Show,Why 401K(s) are the Biggest Scam in the Financial Industry! 💣,https://www.youtube.com/watch?v=D2J3hktMFhI,126880,3316,PT1M1S
Nischa,10 Best Side Hustles to Start in 2025,https://www.youtube.com/watch?v=_mBz-8t4coE,123176,4152,PT13M33S
Nischa,9 Life Lessons I’m taking into 2025,https://www.youtube.com/watch?v=pn5DM7JJ4lw,97583,4890,PT9M26S
Graham Stephan,Greedy Millionaires vs Lazy Minimum Wage Workers | Jubilee,https://www.youtube.com/watch?v=ubdIgT5smdk,91241,2780,PT24M55S
Erin Talks Money,The New Benchmark for Financial Success?!?! What It Means to 'Make It',https://www.youtube.com/watch?v=2K7pxUqRGuI,80777,3015,PT11M10S
Money Guy Show,Financial Advisors React to Unhinged Money Advice on TikTok,https://www.youtube.com/watch?v=0nCqxb7LLOM,67885,1651,PT15M52S
Erin Talks Money,Retiring at 65? Think Again: 45% of Retirees Risk Running Out of Savings | Are You Saving Enough?,https://www.youtube.com/watch?v=F9tBii0-D8o,61178,2664,PT10M41S
Erin Talks Money,"S&P 500: After 2 Stellar Years, What Can Investors Expect in 2025? Boom, Bust, or Something Else?",https://www.youtube.com/watch?v=7VAXj35xXSg,57311,2821,PT9M45S
Nischa,Why you care so much (and How to Stop),https://www.youtube.com/watch?v=jm-qDmZdhIQ,56797,3758,PT8M57S
Graham Stephan,The WORST Home Upgrades That People REGRET,https://www.youtube.com/watch?v=uu6ZLk1rO2E,43305,1592,PT17M31S
Money Guy Show,Your Salary Structure is WHAT?,https://www.youtube.com/watch?v=ococizGaMQg,36260,726,PT43M10S
Erin Talks Money,Frozen Housing Market Explained: High Mortgage Rates and What to Expect,https://www.youtube.com/watch?v=YCE0DZbZjXU,29400,1156,PT10M13S
Erin Talks Money,Can You Avoid RMDs? | Smart Strategies to Maximize (or Skip) Your Required Minimum Distributions,https://www.youtube.com/watch?v=CnIcqoIhEKI,27639,1482,PT9M54S
Erin Talks Money,Case Study: Maximize Social Security with a High-Income Spouse | Staggering Could Be the Best Option,https://www.youtube.com/watch?v=H9E2iGKq46A,27157,1512,PT12M45S
Finance with Sharan,Must-Watch for Every 22-25 Year Olds Before Starting Investing | Personal CFO Ep 2,https://www.youtube.com/watch?v=jl14KO2M52w,22366,402,PT41M52S
Erin Talks Money,Why Today's Dollars Aren't Enough: Understanding What Your Money Will Be Worth in 50 Years,https://www.youtube.com/watch?v=FNvFRwkc1GU,21717,1309,PT10M33S
Finance with Sharan,Who is More Financially Literate? Students or Teachers | Children’s Day Special,https://www.youtube.com/watch?v=5ubmmWU9D8o,20173,617,PT18M7S
Finance with Sharan,"From ₹22,000 Salary to ₹1 Crore: Know Skillsets That Changed Everything",https://www.youtube.com/watch?v=z9RB0wRhowg,20001,535,PT14M9S
Steph and Den,How Much Money We Spent in 2024 - Annual Budget Wrap Up,https://www.youtube.com/watch?v=X2ZFJsdru1M,16289,485,PT24M35S
Legacy Investing Show,How A $5.5M Debt Made Me A Millionaire,https://www.youtube.com/watch?v=kUY8blaNeq8,16131,668,PT1M1S
Erin Talks Money,Why a 2.5% Social Security COLA Isn’t Enough—and What You Can Do About It,https://www.youtube.com/watch?v=shwikcqF0O4,14173,926,PT10M7S
Steph and Den,"How Much Money We Made, Saved and Invested in 2024",https://www.youtube.com/watch?v=njgNUYHzhCg,14072,516,PT13M56S
Legacy Investing Show,How To Pay Less Taxes 🤫,https://www.youtube.com/watch?v=zs6TIod_C58,13082,426,PT1M1S
Steph and Den,How I'm Able To Save 50% Of My Income In 2025,https://www.youtube.com/watch?v=SG8-VjET8eY,11834,420,PT23M59S
The Finance Engineer,Health Insurance in America #shorts,https://www.youtube.com/watch?v=rNDqZkAz-dI,11174,1064,PT1M
Money Guy Show,How To Protect a BIG Portfolio,https://www.youtube.com/watch?v=zR6BBt2i680,11144,268,PT4M26S
Steph and Den,How much $$ I spent in November 😅 #shorts,https://www.youtube.com/watch?v=HXzS88enkbo,10243,368,PT1M
Legacy Investing Show,Why 50% of Marriages End Up in Divorce…,https://www.youtube.com/watch?v=niBT449QJbs,9051,362,PT1M
Erin Talks Money,4 Truths Why Americans Struggle to Build Wealth (And What to Do About It),https://www.youtube.com/watch?v=JmlYmwcZMPw,8180,698,PT10M29S
Money Guy Show,What You Need to Know About House Hacking,https://www.youtube.com/watch?v=9GWffmF5xTs,7603,165,PT4M59S
Money Guy Show,You Gamble HOW MUCH In The Stock Market??,https://www.youtube.com/watch?v=roexhlqqQRw,7561,188,PT4M32S
Money Guy Show,Can I Pay TOO Much Attention to My Money?,https://www.youtube.com/watch?v=EXHv5B7lC5E,7417,195,PT5M8S
Steph and Den,Who spent more money?! 👀 #shorts,https://www.youtube.com/watch?v=s9_yJ_7b41k,6895,306,PT1M1S
Money Guy Show,How Investment Accounts Are Inherited,https://www.youtube.com/watch?v=6u9eN2vXicA,6726,216,PT6M7S
Legacy Investing Show,Tips To Avoid Bad Guests On Airbnb 🚫,https://www.youtube.com/watch?v=ep7YeT-iBTc,6640,368,PT1M1S
Steph and Den,Do I Have Enough Money To Retire? How To Calculate Your Retirement Number,https://www.youtube.com/watch?v=AdQMuUBIutI,6566,227,PT6M41S
Money Guy Show,How To Take Social Security The RIGHT Way,https://www.youtube.com/watch?v=f2Br8iwnXcI,6326,198,PT6M3S
Money Guy Show,How To Retire Early With a 457,https://www.youtube.com/watch?v=k2e3ocdplzM,5326,144,PT4M3S
Sean Loves Real Estate,Net Worth Skyrockets After Your First Rental Property (Here's How),https://www.youtube.com/watch?v=qr0xr6t0B9c,5306,183,PT10M56S
Steph and Den,"I spent $2,289.92 on food 😬🤯 #shorts",https://www.youtube.com/watch?v=a4z1MLLdwlw,5294,293,PT1M
Finance with Sharan,Secret Hack of Millionaires to save Tax |  1% Lifestyle,https://www.youtube.com/watch?v=RQAacByHnOo,4938,145,PT7M5S
Pranjal Kamra,"If you’re attracted to #Bitcoin & #crypto investments, you should listen to #WarrenBuffett. #shorts",https://www.youtube.com/watch?v=gfU86z76lwk,4014,179,PT1M
Sean Loves Real Estate,My Step By Step Process For Analyzing Rental Properties (For Beginners),https://www.youtube.com/watch?v=d1QJ-KF6iqs,3321,194,PT14M34S
Steph and Den,My 2024 Money Wrapped 👀💰 #shorts,https://www.youtube.com/watch?v=ZkoBvpYy2ew,3003,193,PT1M30S
Daniel Iles,Real or Fake?,https://www.youtube.com/watch?v=lm2XDHc3AZc,2948,109,PT1M3S
Sean Loves Real Estate,"EXACTLY How to Make Your First $10,000",https://www.youtube.com/watch?v=_M5BhIkTEjE,2665,134,PT13M53S
Legacy Investing Show,6 Places Your Money Needs To Go (Save Money Fast),https://www.youtube.com/watch?v=iODue8avdag,2659,145,PT12M54S
Legacy Investing Show,Retiring Your Kids As Millionaires,https://www.youtube.com/watch?v=nOsKkvVO9mY,2565,56,PT1M1S
Money Guy Show,How Do I Plan For a BIG Drop In Income?,https://www.youtube.com/watch?v=Nzusyk6WD24,1950,71,PT6M2S
Daniel Iles,This is 2x more profitable than agencies right now,https://www.youtube.com/watch?v=WFC72HMOfwQ,1718,77,PT1M4S
Legacy Investing Show,Trump's Return Could Change Your Wallet: 3 Ways to Prepare Now,https://www.youtube.com/watch?v=Ads3ZMV5BrA,1679,50,PT8M11S
Daniel Iles,How “Published  Perfect” made me $300k,https://www.youtube.com/watch?v=1H7WZJSTmkE,1638,88,PT1M3S
Daniel Iles,This will shortcut 2-6 months of work on social media,https://www.youtube.com/watch?v=yVl0IDHPigo,1607,59,PT1M
Finance with Sharan,"2024, in 6 Minutes | India’s Biggest Financial Moments",https://www.youtube.com/watch?v=PFOPU1Ujj74,1553,97,PT5M47S
Daniel Iles,Your podcast clips probably won’t work…,https://www.youtube.com/watch?v=jjsueuvK6qc,1373,52,PT1M36S
Daniel Iles,This added +800% to our topline rev,https://www.youtube.com/watch?v=aO0VPDZ4awM,1292,65,PT1M22S
Daniel Iles,How to sell on social media without being salesy,https://www.youtube.com/watch?v=0wQoTWlFu8k,1251,62,PT1M18S
Legacy Investing Show,From Long-Term Rentals to Airbnbs: Now Making $8K/Mo,https://www.youtube.com/watch?v=t310xDEwVtM,944,31,PT35M6S
The Finance Engineer,Money Expert Reacts to BAD Finance TikTok Advice,https://www.youtube.com/watch?v=knQU4GL1vjE,861,30,PT12M3S
Daniel Iles,If you want social media to work...,https://www.youtube.com/watch?v=I37DzeaHYm4,841,36,PT1M5S
Steph and Den,My Money Plan for 2025 💸✨ #shorts,https://www.youtube.com/watch?v=vpuLXZ0FyD8,558,63,PT1M9S
Parallel Wealth,25% Trump Tariff | Impact on Exchange Rate Risk,https://www.youtube.com/watch?v=uT-WJqfql4o,525,11,PT1M
Parallel Wealth,Free Money? This May Hit Your Bank Account Soon.,https://www.youtube.com/watch?v=ztXHn-fPpEI,160,5,PT1M
